p,Sequence,name,simbad,feh,cfe,nfe,ofe,nafe,mgfe,alfe,sife,cafe,scfe,tife,vfe,crfe,mnfe,cofe,nife,znfe,gafe,gefe,srfe,yfe,zrfe,nbfe,mofe,rufe,rhfe,pdfe,agfe,bafe,lafe,cefe,prfe,ndfe,smfe,eufe,gdfe,tbfe,dyfe,hofe,erfe,tmfe,ybfe,lufe,hffe,osfe,irfe,ptfe,aufe,pbfe,thfe,ufe,ref
1,1,HIP107975,15 Peg,-0.61,nan,nan,nan,0.24,0.23,0.09,0.26,0.14,nan,0.17,0.18,-0.02,nan,nan,0.07,nan,nan,nan,nan,-0.05,-0.01,nan,nan,nan,nan,nan,nan,0.21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,FUL00
1,2,CS22497-017,22497-0017,-1.17,nan,nan,nan,nan,0.63,nan,nan,0.27,0.12,0.47,nan,0.34,-0.29,nan,nan,nan,nan,nan,-0.21,nan,nan,nan,nan,nan,nan,nan,nan,0.13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PRE00
1,3,CS22497-030,22497-0030,-2.14,nan,nan,nan,nan,0.38,nan,nan,0.46,0,0.48,nan,-0.25,-0.06,nan,nan,nan,nan,nan,0.93,nan,nan,nan,nan,nan,nan,nan,nan,2.45,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PRE00
1,4,CS22499-057,22499-0057,-2.31,nan,nan,nan,nan,0.54,nan,nan,0.9,0.5,0.69,nan,0.06,-0.06,nan,nan,nan,nan,nan,-0.22,nan,nan,nan,nan,nan,nan,nan,nan,-0.07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PRE00
1,5,CS22509-027,22509-0027,-2,nan,nan,nan,nan,0.47,nan,nan,0.17,-0.19,0.42,nan,-0.14,-0.06,nan,nan,nan,nan,nan,0.65,nan,nan,nan,nan,nan,nan,nan,nan,1.53,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PRE00
1,6,CS22517-021,22517-0021,-0.97,nan,nan,nan,nan,0.13,nan,nan,0.07,0.35,0.58,nan,-0.26,-0.42,nan,nan,nan,nan,nan,0.27,nan,nan,nan,nan,nan,nan,nan,nan,-0.17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PRE00
1,7,CS22518-039,22518-0039,-2.47,nan,nan,nan,nan,0.19,nan,nan,0.23,-0.13,0.32,nan,-0.27,-0.06,nan,nan,nan,nan,nan,0.45,nan,nan,nan,nan,nan,nan,nan,nan,1.38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PRE00
1,8,CS22957-022,2MASS J00014549-0549465,-2.92,0.24,0.29,0.73,nan,0.25,nan,nan,0.23,0.07,0.4,0.11,-0.28,-0.81,0.21,0,0.34,nan,nan,-0.31,-0.34,-0.03,nan,nan,nan,nan,nan,nan,-1.06,nan,nan,nan,nan,nan,-0.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,LAI08
1,10,CS29503-010,2MASS J00045537-2424193,-1.11,1.08,1.28,nan,0.1,0.34,nan,nan,0.18,0.26,0.39,nan,-0.07,nan,nan,0.07,0.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.54,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,AOK07a
1,11,HE0005-0002,2MASS J00080677+0014089,-3.06,0.13,nan,nan,nan,0.39,-0.42,nan,0.37,0.11,0.24,nan,-0.66,-0.37,0.1,0.1,nan,nan,nan,0.29,0.07,0.46,nan,nan,nan,nan,nan,nan,-0.03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
