star,feh,ch,oh,sih,ulc,ulo,ulsi,ref,teff,logg,llum
BD+44_493,-3.73,-2.41,-2.12,-3.27,0,0,0,ITO09,5510,3.7,0.56
dwBoo-1137,-3.71,-3.45,nan,-2.89,0,0,0,NOR10,4700,1.2,nan
BS16076-006,-3.81,-3.38,nan,-3.46,0,0,0,BON09,5199,3,1.16
BS16467-062,-3.76,-3.52,nan,-3.16,0,0,0,SPI05,5200,2.5,1.75
BS16550-087,-3.52,-3.93,nan,-3.09,0,0,0,LAI08,4750,1.31,2.69
CD-38_245,-4.01,-5,-3.1,-3.95,0,0,0,SPI05,4800,1.5,2.62
CS22172-002,-3.86,-3.86,-2.82,-3.41,0,0,0,SPI05,4800,1.3,2.82
CS22885-096,-3.78,-3.52,nan,-3.22,0,0,0,SPI05,5050,2.6,1.6
CS22949-037,-3.97,-2.82,-1.99,-3.16,0,0,0,SPI05,4900,1.5,2.65
CS22968-014,-3.56,-3.31,-2.66,-3.31,0,0,0,SPI05,4850,1.7,2.43
CS29498-043,-3.75,-1.85,-1.37,-2.63,0,0,0,AOK04,4400,0.6,3.36
CS29527-015,-3.55,-2.28,nan,-3.36,0,0,0,BON09,6242,4,0.48
CS30336-049,-4.03,-4.23,-2.89,-3.81,0,0,0,LAI08,4827,1.51,2.52
dwFnx05-42,-3.66,-4.46,nan,nan,0,0,0,TAF11,4353,0.7,nan
HE0013-0257,-3.82,-3.6,nan,nan,0,0,0,HOL11,4500,0.5,nan
HE0107-52401D,-5.44,-1.62,-3.03,-5.5,0,0,1,COL06,4130,2.2,nan
HE0132-2429,-3.6,-2.77,-1.74,-2.94,0,0,0,COH08,5294,2.75,1.44
HE0302-3417a,-3.7,-3.22,nan,nan,0,0,0,HOL11,4400,0.2,nan
HE0557-4840,-4.73,-3.14,-2.43,-4.85,0,0,0,NOR07,4900,2.2,1.85
HE1116-0634,-3.73,-3.65,nan,nan,0,0,0,HOL11,4400,0.1,nan
HE1220-1000,-4,-3.92,nan,nan,0,0,0,FRE12,4870,1.8,nan
HE1300+0157,-3.78,-2.54,-2.15,-3.01,0,0,0,FRE07,5450,3.2,1.14
HE1327-23261D,-5.71,-1.53,-1.85,-5.4,0,0,1,FRE08,6180,3.7,nan
HE1347-1025,-3.53,-3.17,nan,-3.03,0,0,0,COH08,5195,2.5,1.66
HE1356-0622,-3.54,-3.37,nan,-2.63,1,0,0,COH08,4947,1.85,2.22
HE1424-0241,-3.96,-3.33,nan,-4.96,1,0,0,COH08,5193,2.5,1.66
HE2302-2154a,-3.88,-3.5,nan,nan,0,0,0,HOL11,4675,0.9,nan
J1029151+1729,-4.73,-3.8,nan,-4.27,1,0,0,CAF11,5811,4,nan
dwS1020549,-3.82,-3.65,nan,-2.85,1,0,0,FRE10b,4550,0.9,nan
dwScl07-50,-3.96,-3.96,nan,nan,0,0,0,TAF11,4793,1.56,nan
dwSegue1-7,-3.52,-1.26,-1.31,nan,0,1,0,NOR10b,4960,1.9,nan
53327-2044-515,-4.09,-2.52,nan,nan,0,0,0,YON13,5703,3.36,nan
53327-2044-515,-4,-2.87,nan,nan,0,0,0,YON13,5703,4.68,nan
53436-1996-093,-3.53,-1.87,nan,-1.53,1,0,1,YON13,6449,4.38,nan
BS16545-089,-3.44,-1.82,nan,-3.44,1,0,0,LAI08*,6500,4.25,nan
CS22876-032A,-3.66,nan,-1.52,-3.75,0,0,0,GON08*,6500,4.4,nan
CS22876-032B,-3.57,nan,-1.75,-3.48,0,0,0,GON08*,5900,4.6,nan
CS 22897-008,-3.5,-2.94,nan,nan,0,0,0,YON13,4795,1.43,nan
CS 22963-004,-3.54,-3.14,nan,0.58,0,0,0,YON13,5597,3.34,nan
G77-61,-4,-0.8,-2.2,nan,0,0,0,BEE07*,4000,5.1,nan
HE0049-3948,-3.68,-1.87,nan,-3.69,1,0,0,YON13,6466,3.78,nan
HE0057-5959,-4.08,-3.22,nan,nan,0,0,0,YON13,5257,2.65,nan
HE0218-2738,-3.57,nan,nan,-3.52,0,0,0,YON13,6593,4.29,nan
HE0228-4047,-3.75,-1.87,nan,-3.4,1,0,0,YON13,6515,4.35,nan
HE0228-4047,-3.75,-1.77,nan,-3.41,1,0,0,YON13,6515,3.8,nan
HE0945-1435,-3.78,-1.97,nan,-1.78,1,0,1,YON13,6344,3.71,nan
HE0945-1435,-3.77,-2.07,nan,-1.77,1,0,1,YON13,6344,4.43,nan
