um, n, k
0.000769694, 8.47, 1.668
0.000839497, 8.511, 1.693
0.000915747, 8.472, 1.774
0.000998941, 8.328, 1.879
0.001089697, 8.147, 1.889
0.001188761, 7.993, 1.86
0.001296875, 7.878, 1.815
0.00141466, 7.786, 1.781
0.001542363, 7.708, 1.758
0.001683705, 7.64, 1.757
0.001836206, 7.559, 1.776
0.002002345, 7.463, 1.798
0.002184602, 7.353, 1.822
0.002382976, 7.221, 1.832
0.002599949, 7.097, 1.807
0.002835519, 7.009, 1.78
0.003093406, 6.932, 1.783
0.00337361, 6.835, 1.809
0.003681091, 6.703, 1.819
0.004014608, 6.596, 1.791
0.004379122, 6.499, 1.797
0.004777111, 6.375, 1.799
0.005211056, 6.26, 1.791
0.005684676, 6.138, 1.758
0.00620169, 6.046, 1.754
0.006764578, 5.913, 1.736
0.00737954, 5.821, 1.699
0.008049054, 5.701, 1.677
0.008780561, 5.608, 1.611
0.009577779, 5.533, 1.61
0.010448149, 5.45, 1.549
0.011396628, 5.379, 1.537
0.012435615, 5.299, 1.514
0.013563871, 5.23, 1.501
0.014791315, 5.156, 1.508
0.016142743, 5.039, 1.497
0.017605756, 4.929, 1.458
0.019205153, 4.849, 1.406
0.020940931, 4.791, 1.371
0.022850288, 4.737, 1.355
0.024920824, 4.669, 1.34
0.027189735, 4.598, 1.32
0.029657021, 4.528, 1.306
0.032347478, 4.468, 1.29
0.035285903, 4.391, 1.298
0.038497094, 4.319, 1.253
0.041993449, 4.263, 1.24
0.045799763, 4.206, 1.248
0.049965633, 4.1, 1.258
0.054503454, 4.01, 1.216
0.059450424, 3.946, 1.186
0.064856135, 3.886, 1.154
0.070745385, 3.818, 1.141
0.077167766, 3.734, 1.101
0.097947518, 3.7, 1.065
0.091835097, 3.65, 1.044
0.100166835, 3.612, 1.032
0.109267275, 3.558, 1.032
0.11919841, 3.489, 1.005
0.130059426, 3.447, 0.979
0.141837925, 3.412, 0.967
0.154732282, 3.373, 0.979
0.168742496, 3.295, 0.997
0.184116537, 3.205, 0.976
0.200854404, 3.126, 0.937
0.219080081, 3.07, 0.884
0.238917553, 3.026, 0.853
0.260614788, 3, 0.804
0.284295771, 2.99, 0.771
0.310208468, 2.973, 0.774
0.338352882, 2.933, 0.77
0.369100963, 2.897, 0.76
0.402576697, 2.86, 0.754
0.439152036, 2.827, 0.754
0.479074949, 2.784, 0.737
0.522593403, 2.754, 0.732
0.570079352, 2.719, 0.725
0.621780763, 2.685, 0.72
0.678317558, 2.654, 0.713
0.739937706, 2.616, 0.714
0.807137142, 2.576, 0.715
0.880411804, 2.541, 0.71
0.960381613, 2.507, 0.707
1.04766649, 2.477, 0.705
1.142762371, 2.441, 0.706
1.24604121, 2.412, 0.707
1.360106674, 2.378, 0.71
1.482851032, 2.349, 0.716
1.61799381, 2.314, 0.73
1.765535008, 2.271, 0.737
1.925474626, 2.235, 0.739
2.100292348, 2.203, 0.751
2.291228016, 2.165, 0.766
2.499521472, 2.123, 0.782
2.726412558, 2.08, 0.799
2.973141116, 2.033, 0.818
3.243426672, 1.98, 0.839
3.538509068, 1.919, 0.86
3.859628146, 1.851, 0.878
4.210503432, 1.776, 0.891
4.59361461, 1.694, 0.897
5.010201522, 1.607, 0.894
5.465223536, 1.512, 0.889
5.961160336, 1.392, 0.854
6.50297129, 1.289, 0.764
7.094375924, 1.235, 0.654
7.737853922, 1.225, 0.553
8.440844336, 1.256, 0.463
9.208306534, 1.326, 0.428
10.04396004, 1.371, 0.45
10.95648375, 1.386, 0.509
11.95207688, 1.351, 0.56
13.04313784, 1.293, 0.601
14.22098774, 1.214, 0.622
15.51042342, 1.127, 0.617
16.9238433, 1.04, 0.586
18.46124738, 0.969, 0.53
20.13503408, 0.921, 0.466
21.97000024, 0.888, 0.403
23.96614586, 0.868, 0.341
26.13586936, 0.861, 0.283
28.516366, 0.861, 0.232
31.09523736, 0.866, 0.186
33.92207712, 0.874, 0.144
37.0092837, 0.892, 0.1
38.3111178, 0.91, 0.081
