wavelength(um),n,k
0.20,1.91,.000001
0.25,1.85,.0000008
0.30,1.81,.0000005
0.40,1.79,.0000003
0.50,1.77,.0000002
1.00,1.76,.00000006
2.00,1.73,.00000005
3.00,1.71,.0000002
4.00,1.68,.0000015
4.60,1.65,.000011
5.00,1.62,.000031
5.60,1.58,.00011
6.00,1.56,.00024
7.00,1.50,.0011
8.00,1.38,.0033
9.00,1.20,.0083
10.0,0.92,.018
11.0,0.30,.089
12.0,0.05,.99
13.0,0.05,1.6
14.0,0.08,2.2
15.0,0.18,3.2
16.0,1.02,2.9
17.0,0.98,6.3
18.0,7.52,1.5
19.0,4.23,.34
20.0,2.66,.27
21.0,0.45,1.9
22.0,0.73,5.9
23.0,9.37,1.3
24.0,5.71,.21
25.0,4.57,.18
26.0,5.17,2.0
27.0,4.67,.12
28.0,4.30,.059
29.0,4.09,.05
30.0,3.95,.04
35.0,3.59,.02
40.0,3.43,.015
45.0,3.34,.013
50.0,3.26,.011
100.,3.11,.0069
333.,3.07,.0027
