wavelen (um), n, k
0.14, 1.42, 0.683
0.15, 1.41, 0.74
0.16, 1.4, 0.803
0.17, 1.42, 0.863
0.18, 1.48, 0.925
0.19, 1.54, 0.982
0.2, 1.59, 1.03
0.21, 1.68, 1.07
0.22, 1.76, 1.09
0.23, 1.84, 1.09
0.24, 1.92, 1.08
0.25, 1.98, 1.07
0.26, 2.02, 1.05
0.27, 2.08, 1.03
0.28, 2.13, 0.999
0.29, 2.16, 0.965
0.3, 2.17, 0.936
0.31, 2.19, 0.911
0.32, 2.2, 0.902
0.33, 2.21, 0.895
0.34, 2.24, 0.895
0.35, 2.26, 0.895
0.36, 2.29, 0.887
0.37, 2.32, 0.879
0.38, 2.34, 0.869
0.39, 2.36, 0.857
0.4, 2.38, 0.846
0.41, 2.4, 0.828
0.42, 2.42, 0.807
0.43, 2.43, 0.787
0.44, 2.45, 0.767
0.45, 2.45, 0.749
0.46, 2.46, 0.731
0.47, 2.47, 0.714
0.48, 2.47, 0.699
0.49, 2.48, 0.689
0.5, 2.48, 0.679
0.51, 2.49, 0.67
0.52, 2.49, 0.66
0.53, 2.5, 0.652
0.54, 2.5, 0.644
0.55, 2.51, 0.637
0.56, 2.51, 0.629
0.57, 2.52, 0.622
0.58, 2.52, 0.614
0.59, 2.53, 0.604
0.6, 2.54, 0.593
0.61, 2.55, 0.582
0.62, 2.55, 0.571
0.63, 2.56, 0.56
0.64, 2.57, 0.549
0.65, 2.58, 0.539
0.66, 2.58, 0.526
0.67, 2.58, 0.513
0.68, 2.57, 0.499
0.69, 2.57, 0.485
0.7, 2.56, 0.471
0.71, 2.56, 0.457
0.72, 2.56, 0.443
0.73, 2.55, 0.429
0.74, 2.55, 0.416
0.75, 2.54, 0.402
0.76, 2.53, 0.398
0.77, 2.52, 0.394
0.78, 2.51, 0.39
0.79, 2.51, 0.386
0.8, 2.5, 0.382
0.81, 2.49, 0.377
0.82, 2.48, 0.373
0.83, 2.47, 0.369
0.84, 2.46, 0.365
0.85, 2.45, 0.361
0.86, 2.44, 0.357
0.87, 2.43, 0.353
0.88, 2.42, 0.354
0.89, 2.41, 0.361
0.9, 2.4, 0.367
0.91, 2.4, 0.373
0.92, 2.39, 0.379
0.93, 2.38, 0.386
0.94, 2.37, 0.392
0.95, 2.37, 0.398
0.96, 2.36, 0.404
0.97, 2.35, 0.411
0.98, 2.34, 0.417
0.99, 2.34, 0.423
1, 2.32, 0.413
1.1, 2.3, 0.54
1.2, 2.35, 0.652
1.3, 2.41, 0.782
1.4, 2.48, 0.93
1.5, 2.56, 0.973
1.6, 2.63, 1.02
1.7, 2.71, 1.06
1.8, 2.78, 1.13
1.9, 2.85, 1.2
2, 2.92, 1.27
2.1, 2.98, 1.27
2.2, 3.05, 1.27
2.3, 3.11, 1.28
2.4, 3.18, 1.28
2.5, 3.24, 1.28
2.6, 3.28, 1.29
2.7, 3.32, 1.3
2.8, 3.37, 1.31
2.9, 3.41, 1.32
3, 3.45, 1.33
3.1, 3.47, 1.32
3.2, 3.49, 1.31
3.3, 3.52, 1.3
3.4, 3.54, 1.29
3.5, 3.56, 1.28
3.6, 3.59, 1.29
3.7, 3.62, 1.3
3.8, 3.64, 1.31
3.9, 3.67, 1.32
4, 3.7, 1.33
4.1, 3.72, 1.32
4.2, 3.74, 1.31
4.3, 3.75, 1.3
4.4, 3.77, 1.29
4.5, 3.79, 1.28
4.6, 3.8, 1.28
4.7, 3.82, 1.28
4.8, 3.83, 1.28
4.9, 3.85, 1.28
5, 3.86, 1.28
6, 3.96, 1.27
7, 4.02, 1.27
8, 4.03, 1.3
9, 4.09, 1.35
10, 4.13, 1.4
11, 4.08, 1.5
12, 4.09, 1.58
13, 4.07, 1.69
14, 4.04, 1.85
15, 4.04, 2.07
16, 3.91, 2.28
17, 4.01, 3.28
18, 6.5, 3.4
19, 5.54, 1.79
20, 5.02, 1.83
21, 4.84, 1.99
22, 4.74, 2.17
23, 4.59, 2.37
24, 4.6, 2.84
25, 4.7, 3.08
26, 4.66, 3.42
27, 5.11, 4.15
28, 6.03, 5.03
29, 7.97, 4.55
30, 7.42, 2.44
35, 7.04, 2.33
40, 6.66, 2.21
45, 6.48, 2.25
50, 6.89, 2.3
55, 6.96, 2.32
60, 7.03, 2.34
65, 7.15, 2.42
70, 7.26, 2.5
75, 7.4, 2.57
80, 7.54, 2.64
85, 7.72, 2.69
90, 7.89, 2.73
95, 8.07, 2.73
100, 8.25, 2.72
110, 8.25, 2.72
120, 8.25, 2.72
130, 8.25, 2.72
140, 8.25, 2.72
150, 8.25, 2.72
160, 8.25, 2.72
170, 8.25, 2.72
180, 8.25, 2.72
190, 8.25, 2.72
200, 8.25, 2.72
210, 8.25, 2.72
220, 8.25, 2.72
230, 8.25, 2.72
240, 8.25, 2.72
250, 8.25, 2.72
260, 8.25, 2.72
270, 8.25, 2.72
280, 8.25, 2.72
290, 8.25, 2.72
300, 8.25, 2.72
