wavelen (um), n, k
0.01025, -1, 0.033
0.01046, -1, 0.034
0.01069, -1, 0.035
0.01088, -1, 0.036
0.01107, -1, 0.037
0.01127, -1, 0.038
0.01148, -1, 0.040
0.01164, -1, 0.041
0.01181, -1, 0.043
0.01192, -1, 0.045
0.01198, -1, 0.045
0.01222, -1, 0.043
0.01246, -1, 0.045
0.01265, -1, 0.046
0.01285, -1, 0.045
0.01305, -1, 0.045
0.01326, -1, 0.046
0.01348, -1, 0.048
0.01378, -1, 0.051
0.01401, -1, 0.052
0.01442, -1, 0.053
0.01467, -1, 0.054
0.01503, -1, 0.056
0.01540, -1, 0.060
0.01550, -1, 0.061
0.01579, -1, 0.065
0.01621, -1, 0.069
0.01653, 0.951, 0.070
0.01675, 0.952, 0.070
0.01698, 0.954, 0.069
0.01722, 0.954, 0.069
0.01771, 0.952, 0.074
0.01823, 0.952, 0.077
0.01879, 0.958, 0.076
0.01907, 0.962, 0.073
0.01937, 0.964, 0.064
0.01958, 0.965, 0.063
0.02000, 0.960, 0.064
0.02033, 0.950, 0.067
0.02056, 0.938, 0.071
0.02101, 0.925, 0.081
0.02138, 0.926, 0.113
0.02175, 0.954, 0.117
0.02214, 0.964, 0.105
0.02254, 0.964, 0.105
0.02275, 0.965, 0.104
0.02296, 0.966, 0.106
0.02339, 0.975, 0.109
0.02384, 0.985, 0.094
0.02407, 0.981, 0.082
0.02431, 0.972, 0.079
0.02480, 0.963, 0.084
0.02530, 0.960, 0.083
0.02583, 0.955, 0.085
0.02638, 0.950, 0.084
0.02695, 0.943, 0.090
0.02755, 0.940, 0.088
0.02818, 0.930, 0.094
0.02883, 0.926, 0.103
0.02952, 0.924, 0.106
0.03024, 0.918, 0.113
0.03100, 0.915, 0.123
0.03178, 0.916, 0.129
0.03263, 0.915, 0.133
0.03351, 0.912, 0.138
0.03444, 0.909, 0.140
0.03493, 0.903, 0.143
0.03542, 0.898, 0.153
0.03647, 0.902, 0.165
0.03757, 0.908, 0.169
0.03875, 0.913, 0.166
0.03936, 0.913, 0.160
0.03999, 0.909, 0.153
0.04065, 0.901, 0.145
0.04133, 0.887, 0.142
0.04275, 0.862, 0.142
0.04428, 0.830, 0.142
0.04509, 0.806, 0.146
0.04592, 0.781, 0.155
0.04679, 0.754, 0.168
0.04769, 0.724, 0.188
0.04862, 0.694, 0.221
0.04959, 0.677, 0.264
0.04979, 0.675, 0.275
0.04999, 0.675, 0.287
0.05061, 0.689, 0.303
0.05102, 0.692, 0.304
0.05145, 0.684, 0.309
0.05166, 0.680, 0.313
0.05188, 0.678, 0.319
0.05231, 0.677, 0.325
0.05276, 0.669, 0.328
0.05321, 0.658, 0.334
0.05391, 0.636, 0.348
0.05462, 0.612, 0.365
0.05510, 0.589, 0.382
0.05585, 0.553, 0.423
0.05630, 0.531, 0.464
0.05687, 0.522, 0.511
0.05740, 0.519, 0.507
0.05767, 0.522, 0.586
0.05794, 0.526, 0.614
0.05821, 0.535, 0.642
0.05848, 0.550, 0.669
0.05876, 0.568, 0.693
0.05904, 0.592, 0.716
0.05932, 0.624, 0.723
0.05961, 0.645, 0.720
0.05990, 0.659, 0.723
0.06019, 0.676, 0.710
0.06048, 0.673, 0.704
0.06078, 0.669, 0.704
0.06108, 0.661, 0.707
0.06138, 0.651, 0.716
0.06199, 0.632, 0.752
0.06230, 0.625, 0.786
0.06262, 0.635, 0.820
0.06294, 0.652, 0.847
0.06326, 0.670, 0.871
0.06358, 0.691, 0.892
0.06391, 0.714, 0.911
0.06424, 0.743, 0.930
0.06458, 0.776, 0.918
0.06491, 0.780, 0.929
0.06508, 0.792, 0.929
